timestamp,cpu_mean,cpu_std,cpu_min,cpu_max,cpu_trend,cpu_growth_rate,memory_mean,memory_std,memory_trend,memory_growth_rate,heap_trend,heap_growth_rate,stack_trend,stack_growth_rate,latency_mean,latency_max,latency_trend,latency_growth_rate,task_delay_trend,deadline_miss_rate,deadline_trend,queue_trend,queue_growth_rate,cpu_health_score,memory_health_score,stack_health_score,task_health_score,timing_health_score,ai_health_score,resource_health_score,overall_health_score,health_state,cpu_overload_flag,memory_leak_flag,heap_exhaustion_flag,stack_risk_flag,deadline_miss_flag,task_starvation_flag,ai_latency_flag,queue_overflow_flag,fault_type,fault_severity,fault_count,degradation_index,degradation_rate,health_change_rate
11.527,9.0,0.074,8.9,9.1,STABLE,0.6667,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00231,0.0401
12.522,9.008,0.076,8.9,9.1,STABLE,0.6046,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-9.0117,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00241,0.0542
12.522,9.014,0.077,8.9,9.1,STABLE,0.5735,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-11.7759,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00244,0.0587
12.522,9.02,0.077,8.9,9.1,STABLE,0.5547,34.3,0.0,STABLE,-0.0,STABLE,-0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00226,0.0334
13.522,9.025,0.077,8.9,9.1,STABLE,0.4976,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-5.8709,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00217,0.0417
13.522,9.029,0.077,8.9,9.1,STABLE,0.4646,34.3,0.0,STABLE,-0.0,STABLE,-0.0,IMPROVING,-8.0148,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00211,0.0447
13.522,9.033,0.077,8.9,9.1,STABLE,0.4431,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,91.88,100.0,100.0,100.0,35.0,54.37,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4322,-0.00199,0.0363
14.527,9.037,0.076,8.9,9.1,STABLE,0.4008,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-4.1222,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00187,0.0397
14.527,9.04,0.075,8.9,9.1,STABLE,0.3739,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-5.8033,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00179,0.0406
14.527,9.043,0.075,8.9,9.1,STABLE,0.3554,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.7,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00163,0.0262
15.522,9.05,0.08,8.9,9.2,STABLE,0.3673,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-3.042,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00154,0.0294
15.522,9.057,0.084,8.9,9.2,STABLE,0.3753,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-4.3848,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00147,0.0306
15.522,9.062,0.088,8.9,9.2,STABLE,0.381,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,-0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,96.0,100.0,100.0,35.0,54.17,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4337,-0.00134,0.0199
16.522,9.068,0.09,8.9,9.2,STABLE,0.3749,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-2.3401,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.00128,0.0227
16.522,9.073,0.092,8.9,9.2,STABLE,0.3706,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-3.4335,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,98.29,100.0,100.0,100.0,35.0,54.59,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4306,-0.00122,0.024
16.522,9.078,0.093,8.9,9.2,STABLE,0.3673,34.3,0.0,STABLE,0.0,STABLE,0.0,STABLE,0.0,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,91.88,100.0,100.0,100.0,35.0,54.37,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4322,-0.00115,0.02
17.527,9.082,0.094,8.9,9.2,STABLE,0.3555,34.3,0.0,STABLE,0.0,STABLE,0.0,IMPROVING,-1.8565,1.0,1.0,STABLE,0.0,STABLE,0.0,STABLE,STABLE,0.0,98.69,95.43,99.16,100.0,100.0,100.0,35.0,54.62,DEGRADING,False,False,False,False,False,False,False,True,QUEUE_CONGESTION,MEDIUM,1,0.4304,-0.0011,0.0218
